key,en,da,de,es,it
com.oddlabs.tt.bugclient.BugClientWindow.success,Your report has been sent. Thank you for your support!,Din rapport er blevet sendt. Tak for din hj�lp!,Ihr Bericht wurde abgesandt. Vielen Dank f�r Ihre Unterst�tzung.,Tu informe ha sido correctamente enviado. �Gracias por tu ayuda!,Il tuo rapporto � stato inviato. Grazie per l''aiuto!
com.oddlabs.tt.camera.MapCamera.map_mode,Map Mode,Oversigtskort,Kartenmodus,Modo Mapa,Modo Mappa
com.oddlabs.tt.delegate.CampaignMapForm.native_campaign_completed,"Yeah! That will teach those stupid Vikings not to mess with us. Now we head back south, and forget this pointless feud ever happened.",Ja! S� kan de dumme vikinger l�re ikke at l�gge sig ud med os. Nu tager vi tilbage sydp� og glemmer denne meningsl�se krig.,"Jawohl! Diese d�mlichen Wikinger werden sich nicht mehr so schnell mit uns anlegen. Am besten, wir ziehen wieder in den S�den zur�ck und vergessen diese sinnlose Fehde ein f�r alle Mal.",�S�! Eso les ense�ar� a esos est�pidos vikingos a no meterse con nosotros. Ahora dirij�monos al sur y olvidemos que esta  in�til rencilla tuvo lugar.,Oh si! Questo insegner� a quegli stupidi Vichinghi a non mettersi contro di noi! Adesso torniamo a sud e dimentichiamo questa scaramuccia senza importanza.
com.oddlabs.tt.delegate.CampaignMapForm.native_campaign_opened,The native campaign is now accessible.,De indf�dtes felttog er nu tilg�ngelig.,Der Eingeborenenfeldzug ist nun verf�gbar.,La campa�a ind�gena ahora es accesible.,La Campagna Nativi � ora disponibile.
com.oddlabs.tt.delegate.CampaignMapForm.native_campaign_opened_header,Native campaign,De indf�dtes felttog,Eingeborenenfeldzug,Campa�a ind�gena.,Campagna Nativi
com.oddlabs.tt.delegate.CampaignMapForm.native_header,Chief Ngumba,Chief Ngumba,H�uptling Ngumba,Jefe Ngumba,Capo Ngumba
com.oddlabs.tt.delegate.CampaignMapForm.viking_campaign_completed,"Congratulations, we did it! Now, let''s sail home before the natives find out what hit them...","Tillykke, vi gjorde det! Kom, lad os sejle hjem f�r de indf�dte finder ud af, hvad der skete.","Hey, wir haben''s geschafft! Jetzt sollten wir aber schnell nach Hause segeln, bevor diese Eingeborenen herausfinden, was Sache ist ...","�Siii�, lo conseguimos!, ahora partamos hacia casa antes de que los nativos averig�en qu� les golpe�...","Evviva, ce l''abbiamo fatta! Adesso torniamo a casa prima che i nativi capiscano cosa li ha colpiti..."
com.oddlabs.tt.delegate.CampaignMapForm.viking_header,Chief Fjorleif,Chief Fjorleif,H�uptling Fjorleif,Jefe Fjorleif,Capo Fjorleif
com.oddlabs.tt.delegate.GameStatsDelegate.buildings_lost,Buildings lost,Bygninger mistet,Verlorene Geb�ude,Edificios perdidos,Edifici persi
com.oddlabs.tt.delegate.GameStatsDelegate.buildings_wrecked,Buildings wrecked,Bygninger smadret,Zerst�rte Geb�ude,Edificios derribados,Edifici distrutti
com.oddlabs.tt.delegate.GameStatsDelegate.chicken_resources,Chicken resources,Kyllingeressourcer,H�hnchenressourcen,Recursos de pollo,Risorse di pollo
com.oddlabs.tt.delegate.GameStatsDelegate.iron_resources,Iron resources,Jernressourcer,Eisenressourcen,Recursos de hierro,Risorse di ferro
com.oddlabs.tt.delegate.GameStatsDelegate.magics_used,Magics used,Specialangreb,Eingesetzte magische Strategien,Magias usadas,Magie usate
com.oddlabs.tt.delegate.GameStatsDelegate.main_menu,Main menu,Hovedmenu,Hauptmen�,Men� principal,Menu principale
com.oddlabs.tt.delegate.GameStatsDelegate.map_code,Map code: {0},�-kode: {0},Kartencode: {0},C�digo del mapa: {0},Codice mappa: {0}
com.oddlabs.tt.delegate.GameStatsDelegate.meters_walked,Meters walked,Meter g�et,Zur�ckgelegte Meter,Metros recorridos,Metri percorsi
com.oddlabs.tt.delegate.GameStatsDelegate.observer_mode,Observer mode,Tilskuer,Beobachtermodus,Modo de observaci�n,Modo osservatore
com.oddlabs.tt.delegate.GameStatsDelegate.replay_island,Replay island,Genspil �,Insel erneut spielen,Volver a jugar la isla,Rigioca isola
com.oddlabs.tt.delegate.GameStatsDelegate.rock_resources,Rock resources,Stenressourcer,Steinressourcen,Recursos de piedra,Risorse di roccia
com.oddlabs.tt.delegate.GameStatsDelegate.total,Total score,Total score,Gesamtpunktzahl,Puntuaci�n total,Punteggio totale
com.oddlabs.tt.delegate.GameStatsDelegate.tree_resources,Wood resources,Tr�ressourcer,Holzressourcen,Recursos de madera,Risorse di legno
com.oddlabs.tt.delegate.GameStatsDelegate.type,Type,Type,Typ,Tipo,Tipo
com.oddlabs.tt.delegate.GameStatsDelegate.units_killed,Units killed,Enheder dr�bt,Get�tete Einheiten,Unidades asesinadas,Unit� uccise
com.oddlabs.tt.delegate.GameStatsDelegate.units_lost,Units lost,Enheder mistet,Verlorene Einheiten,Unidades perdidas,Unit� perse
com.oddlabs.tt.delegate.GameStatsDelegate.weapons_thrown,Weapons thrown,V�ben kastet,Geworfene Waffen,Armas arrojadas,Armi scagliate
com.oddlabs.tt.delegate.MainMenu.campaign,Campaign,Felttog,Feldzug,Campa�a,Campagna
com.oddlabs.tt.delegate.MainMenu.end_campaign,End campaign,Afbryd felttog,Feldzug beenden,Terminar campa�a,Chiudi campagna
com.oddlabs.tt.delegate.MainMenu.end_game,End game,Afbryd spil,Spiel beenden,Terminar juego,Chiudi gioco
com.oddlabs.tt.delegate.MainMenu.end_game_confirm,Are you sure you want to end this game?,Er du sikker p� du vil afbryde spillet?,M�chten Sie dieses Spiel wirklich beenden?,�Seguro que quieres terminar esta partida?,Sei sicuro di voler terminare il gioco?
com.oddlabs.tt.delegate.MainMenu.end_tutorial,End tutorial,Afbryd grundkursus,Tutorial beenden,Terminar tutorial,Chiudi tutorial
com.oddlabs.tt.delegate.MainMenu.game_aborted,Game aborted.,Spil afbrudt.,Spiel wurde abgebrochen.,Juego abortado.,Gioco chiuso.
com.oddlabs.tt.delegate.MainMenu.load,Load,Hent,Laden,Cargar,Carica
com.oddlabs.tt.delegate.MainMenu.logo_file,/textures/gui/tt_mainform_logo,,/textures/gui/tt_mainform_logo_de,,/textures/gui/tt_mainform_logo
com.oddlabs.tt.delegate.MainMenu.multiplayer,Multiplayer,Flere spillere,Multiplayermodus,Multijugador,Multiplayer
com.oddlabs.tt.delegate.MainMenu.objective,OBJECTIVES:,M�L:,ZIELE:,OBJETIVOS:,Obiettivi:
com.oddlabs.tt.delegate.MainMenu.options,Options,Indstillinger,Optionen,Opciones,Opzioni
com.oddlabs.tt.delegate.MainMenu.quit,Quit,Afslut,Beenden,Salir,Esci
com.oddlabs.tt.delegate.MainMenu.register,Register,Registrer,Registrieren,Registrar,Registra
com.oddlabs.tt.delegate.MainMenu.resume,Resume,Forts�t,Fortsetzen,Continuar,Ricomincia
com.oddlabs.tt.delegate.MainMenu.save,Save,Gem,Speichern,Guardar,Salva
com.oddlabs.tt.delegate.MainMenu.skirmish,Single player,En spiller,Singleplayermodus,Un Jugador,Giocatore singolo
com.oddlabs.tt.delegate.MainMenu.tutorial,Tutorial,Grundkursus,Tutorial,Tutorial,Tutorial
com.oddlabs.tt.delegate.MainMenu.update,Update,Opdater,Aktualisieren,Actualizar,Aggiorna
com.oddlabs.tt.delegate.QuitScreen.buy_now,Order now and get:,Bestil nu og f�:,"Kaufen Sie jetzt, und Sie erhalten:",C�mpralo ahora y consigue:,Ordina ora per abilitare:
com.oddlabs.tt.delegate.QuitScreen.incentive0,- Chieftains with special attacks,- H�vdinge med specialangreb,- H�uptlinge mit ganz besonderen Angriffsstrategien,- Jefes tribales con ataques especiales,- Capi con attacchi speciali
com.oddlabs.tt.delegate.QuitScreen.incentive1,- Towers for defending your land,- T�rne til at forsvare dig,"- T�rme, mit denen Sie Ihr Land verteidigen k�nnen",- Torres para defender tu territorio,- Torri per difendere la tua terra
com.oddlabs.tt.delegate.QuitScreen.incentive2,- Two new warrior types,- To nye krigertyper,- Zwei neue Kriegerarten,- Dos nuevos tipos de guerreros,- Due nuovi tipi di guerrieri
com.oddlabs.tt.delegate.QuitScreen.incentive3,- Two complete campaigns,- Begge felttog,- Den gesamten Feldzug,- La campa�a completa,- Due campagne complete
com.oddlabs.tt.delegate.QuitScreen.incentive4,- Your own online player profiles,- Din egen online profil,- Ihre eigenen Onlinespielerprofile,- Tus propios perfiles de juego online,- Il tuo profilo online
com.oddlabs.tt.delegate.QuitScreen.incentive5,- Four times larger islands,- Fire gange st�rre �er,- Vier mal gr��ere Inseln,- Islas cuatro veces m�s grandes,- Isole quattro volte pi� grandi
com.oddlabs.tt.delegate.QuitScreen.incentive6,- Harder computer opponents,- Sv�rere computermodstandere,- Schwierigere Computergegner,- Oponentes con mayor dificultad,- Avversari pi� forti
com.oddlabs.tt.delegate.SelectionDelegate.observer_mode,Observer Mode - Press escape to exit,Tilskuer - Tryk escape for at afslutte,Beobachtermodus - Dr�cken Sie zum Beenden die ESC-TASTE.,Modo de observaci�n - Pulsa Esc para salir,Modalit� osservatore - Premi esc per uscire
com.oddlabs.tt.delegate.TutorialOverDelegate.main_menu,Main menu,Hovedmenu,Hauptmen�,Men� principal,Menu principale
com.oddlabs.tt.delegate.TutorialOverDelegate.next_tutorial,Next tutorial,N�ste kursus,N�chstes Tutorial,Pr�ximo tutorial,Prossimo tutorial
com.oddlabs.tt.delegate.TutorialOverDelegate.restart_tutorial,Restart tutorial,Genstart kursus,Tutorial erneut starten,Repetir el tutorial,Ricomincia tutorial
com.oddlabs.tt.delegate.TutorialOverDelegate.tutorial_completed,Tutorial {0} is now completed,Kursus {0} er gennemf�rt,Das Tutorial {0} ist abgeschlossen.,El tutorial {0} ha terminado,Il tutorial {0} � completato
com.oddlabs.tt.form.BugReportConfirmForm.confirm_report,"The game will quit now, and the next time you start it, you will be prompted to fill out a bug report form. Continue?","Spillet afsluttes nu, og n�ste gang du starter, vil du blive bedt om at udfylde en fejlrapport. Forts�t?","Das Spiel wird nun beendet. Beim n�chsten Start werden Sie aufgefordert, einen Fehlerbericht auszuf�llen. M�chten Sie fortfahren?","El juego terminar� ahora, y la pr�xima vez que lo arranques se te pedir� que rellenes un informe de error. �Continuar?","Il gioco terminer� ora, e al prossimo avvio, ti verr� richiesto di compilare un rapporto di errore. Continuare?"
com.oddlabs.tt.form.CampaignForm.campaign,Campaign,Felttog,Feldzug,Campa�a,Campagna
com.oddlabs.tt.form.CampaignForm.confirm_delete,Are you sure you want to delete {0}?,Er du sikker p� du vil slette {0}?,M�chten Sie {0} wirklich l�schen?,�Seguro que quieres borrar {0}?,Vuoi davvero cancellare {0}?
com.oddlabs.tt.form.CampaignForm.delete,Delete,Slet,L�schen,Borrar,Cancella
com.oddlabs.tt.form.CampaignForm.failed_message,Error accessing file {0}. Make sure the directory is accessible. ({1}),Fejl under �bning af filen {0}. S�rg for at mappen er tilg�ngelig. ({1}),"Fehler beim Zugreifen auf Datei {0}. Stellen Sie sicher, dass auf das Verzeichnis zugegriffen werden kann. ({1})",Error accediendo al fichero {0}. Aseg�rate que el directorio es accesible. ({1}),Errore di accesso al file {0}. Assicurati che la directory sia accessibile. ({1})
com.oddlabs.tt.form.CampaignForm.load,Load Game,Hent spil,Spiel laden,Cargar partida,Carica Partita
com.oddlabs.tt.form.CampaignForm.new,New Campaign,Nyt felttog,Neuer Feldzug,Nueva campa�a,Nuova Campagna
com.oddlabs.tt.form.ChatErrorForm.chat_error_invalid_name,ERROR: Unable to join room. Invalid name.,FEJL: Kunne ikke tilsluttes rummet. Ugyldigt navn.,FEHLER: Raum konnte nicht betreten werden. Name ung�ltig.,ERROR: No se puede entrar en la sala. Nombre no v�lido.,ERROR: Impossibile entrare nella stanza. Nome invalido.
com.oddlabs.tt.form.ChatErrorForm.chat_error_no_such_nick,ERROR: No such nick.,FEJL: Navnet findes ikke.,FEHLER: Nick unbekannt.,ERROR: No hay tal nick.,ERROR: Nick inesistente.
com.oddlabs.tt.form.ChatErrorForm.chat_error_too_many_users,ERROR: Unable to join room. Too many users.,FEJL: Kunne ikke tilsluttes rummet. For mange brugere.,FEHLER: Raum konnte nicht betreten werden. Zu viele Benutzer.,ERROR: No se puede entrar en la sala. Demasiados jugadores.,ERROR: Impossibile entrare nella stanza. Troppi utenti.
com.oddlabs.tt.form.ConnectingForm.connecting,Connecting to server...,Forbinder til server...,Die Verbindung zum Server wird hergestellt ...,Conectando al servidor...,Connessione al server...
com.oddlabs.tt.form.ConnectingForm.connection_lost,Connection to game host lost,Mistede forbindelsen til v�rten,Die Verbindung zum Spielhost wurde abgebrochen.,Se ha perdido la conexi�n al anfitri�n del juego,Connessione con il server perduta
com.oddlabs.tt.form.ConnectingForm.starting,Starting game...,Starter spil...,Das Spiel wird geladen ...,Iniciando la partida...,Inizio partita...
com.oddlabs.tt.form.CreateChatRoomForm.create_room,Create new chat room,Opret nyt chatrum,Neuen Chatraum erstellen,Crear nueva sala de conversaci�n,Crea nuova stanza
com.oddlabs.tt.form.CreateChatRoomForm.min_name_error,Name must be at least {0} characters.,Navnet skal v�re p� mindst {0} tegn.,Der Name muss mindestens {0} Zeichen umfassen.,El nombre debe tener al menos {0} caracteres.,Lunghezza minima del nome {0} caratteri.
com.oddlabs.tt.form.CreateChatRoomForm.name,Name:,Navn:,Name:,Nombre:,Name:
com.oddlabs.tt.form.CreatingProfileForm.creating,Creating...,Opretter...,Profil wird erstellt ...,Creando...,Creazione...
com.oddlabs.tt.form.CreatingProfileForm.profile_error_guest,ERROR: Profile name can not start with {0},FEJL: Profilnavnet m� ikke starte med {0},FEHLER: Der Profilname darf nicht mit {0} beginnen.,ERROR: El nombre del perfil no puede empezar por {0},ERROR: Il nome profilo non pu� iniziare con {0}
com.oddlabs.tt.form.CreatingProfileForm.username_error_already_exists,ERROR: A profile with that name already exists.,FEJL: En profil med det navn eksisterer allerede.,FEHLER: Ein Profil mit diesem Namen besteht bereits.,ERROR: Ya existe un perfil con ese nombre.,ERROR: Esiste gi� un profilo con lo stesso nome.
com.oddlabs.tt.form.CreatingProfileForm.username_error_invalid_characters,ERROR: Profile name contains invalid characters.,FEJL: Profilnavnet indeholder ugyldige tegn.,FEHLER: Der Profilname enth�lt ung�ltige Zeichen.,ERROR: El nombre del perfil contiene caracteres no v�lidos.,ERROR: Il nome profilo contiene dei caratteri non validi.
com.oddlabs.tt.form.CreatingProfileForm.username_error_too_long,ERROR: Profile name too long.,FEJL: Profilnavnet er for langt.,FEHLER: Der Profilname ist zu lang.,ERROR: El nombre del perfil es demasiado largo.,ERROR: Nome profilo troppo lungo.
com.oddlabs.tt.form.CreatingProfileForm.username_error_too_many,ERROR: You have too many profiles. Delete a profile before creating a new one.,FEJL: Du har for mange profiler. Slet en profil f�r du opretter en ny.,"FEHLER: Sie haben zu viele Profile. L�schen Sie ein Profil, bevor Sie ein neues erstellen.",ERROR: Tienes demasiados perfiles. Borra un perfil existente antes de crear uno nuevo.,ERROR: Hai troppi profili. Cancella un profilo prima di crearne uno nuovo.
com.oddlabs.tt.form.CreatingProfileForm.username_error_too_short,ERROR: Profile name too short.,FEJL: Profilnavnet er for kort.,FEHLER: Der Profilname ist zu kurz.,ERROR: El nombre del perfil es demasiado corto.,ERROR: Nome profilo troppo corto.
com.oddlabs.tt.form.CreditsForm.3d_artwork_and_animation,3D ARTWORK & ANIMATION,3D GRAFIK & ANIMATION,3D-ART & ANIMATION,ANIMACI�N Y DISE�O 3D,3D ARTWORK & ANIMAZIONE
com.oddlabs.tt.form.CreditsForm.about,About,Om,Info,Acerca de,About
com.oddlabs.tt.form.CreditsForm.about_text,"Tribal Trouble: Resurrected - Revision {0} - is an open-source project derived from the original Tribal Trouble by Oddlabs.

This version is maintained by an independent open-source community and is not affiliated with Oddlabs.

The game is released under the GNU General Public License v2.0 (GPL-2.0).","Tribal Trouble: Resurrected - Revision {0} - er et open source-projekt baseret p� det originale Tribal Trouble udgivet af Oddlabs.

Denne version vedligeholdes af et uafh�ngigt open source-f�llesskab og har ingen tilknytning til Oddlabs.

Spillet udgives under GNU General Public License version 2.0 (GPL-2.0).","Tribal Trouble: Resurrected - Revision {0} - ist ein Open-Source-Projekt, das auf dem urspr�nglichen Tribal Trouble von Oddlabs basiert.

Diese Version wird von einer unabh�ngigen Open-Source-Community gepflegt und steht in keiner Verbindung zu Oddlabs.\m\mDas Spiel wird unter der GNU General Public License Version 2.0 (GPL-2.0) ver�ffentlicht.","Tribal Trouble: Resurrected -Revisi�n {0} - es un proyecto de c�digo abierto derivado del Tribal Trouble original creado por Oddlabs.

Esta versi�n es mantenida por una comunidad independiente de c�digo abierto y no est� afiliada con Oddlabs.

El juego se publica bajo la Licencia P�blica General de GNU, versi�n 2.0 (GPL-2.0).","Tribal Trouble: Resurrected - Revisione {0} - è un progetto open source derivato dall’originale Tribal Trouble sviluppato da Oddlabs.

Questa versione è mantenuta da una comunità open source indipendente e non è affiliata a Oddlabs.

Il gioco è distribuito sotto la licenza GNU General Public License versione 2.0 (GPL-2.0)."
com.oddlabs.tt.form.CreditsForm.additional_thanks,...and thanks to all those we forgot!,...og tak til alle dem vi har glemt!,"... und nat�rlich danke an alle, die wir vergessen haben!",...y gracias tambi�n a todos los que nos hemos dejado en el tintero!,...e grazie a tutti coloro che non sono stati menzionati!
com.oddlabs.tt.form.CreditsForm.audio,AUDIO,LYD,AUDIO,AUDIO,AUDIO
com.oddlabs.tt.form.CreditsForm.beta_thank,"A big thanks to all of our beta testers, especially:","En stor tak til alle vores betatestere, specielt:","Ein riesengro�es Dankesch�n auch an all unsere Betatester, besonders an:","Muchas Gracias a todos nuestros betatesters, especialmente:","Un grande ringraziamento a tutti i nostri beta tester, specialmente:"
com.oddlabs.tt.form.CreditsForm.credits,Credits,Udviklere,Credits,Cr�ditos,Credits
com.oddlabs.tt.form.CreditsForm.game_design_and_programming,GAME DESIGN & PROGRAMMING,SPILDESIGN & PROGRAMMERING,DESIGN & PROGRAMMIERUNG,DISE�O DEL JUEGO Y PROGRAMACI�N,GAME DESIGN & PROGRAMMAZIONE
com.oddlabs.tt.form.CreditsForm.oddlabs_thanks,Oddlabs would like to thank the following persons (in no particular order) for their assistance:,Oddlabs vil gerne takke f�lgende personer (i tilf�ldig r�kkef�lge) for deres hj�lp:,Oddlabs m�chte folgenden Personen (in zuf�lliger Reihenfolge) f�r ihre Hilfe danken:,Oddlabs quiere agradecer a las siguiente personas (sin un orden en particular) por su ayuda prestada:,Oddlabs vuole ringraziare le seguenti persone (in ordine sparso) per il loro aiuto:
com.oddlabs.tt.form.CreditsForm.special_thanks,SPECIAL THANKS,S�RLIG TAK,BESONDERER DANK,AGRADECIMIENTOS ESPECIALES,RINGRAZIAMENTI SPECIALI
com.oddlabs.tt.form.CreditsForm.special_thanks_text,Our very special thanks go out to:,S�rlig tak til:,Unser besonderer Dank gilt:,Nuestro agradecimiento especial para:,I nostri speciali ringraziamenti a:
com.oddlabs.tt.form.CreditsForm.thanks,The original thanks from Oddlabs,De oprindelige tak fra Oddlabs:,Die urspr�nglichen Danksagungen von Oddlabs:,Agradecimientos originales de Oddlabs:,Ringraziamenti originali di Oddlabs:
com.oddlabs.tt.form.CreditsForm.thanks_to,Thanks to,Tak til,Danke an,Agradecimientos a,Ringraziamenti
com.oddlabs.tt.form.DemoForm.buy_now_caption,Order now,Bestil nu,Jetzt kaufen,Comprar ahora,Ordina adesso
com.oddlabs.tt.form.DemoForm.buy_now_text,Click Order now and register your version of Tribal Trouble to be able to:,"Klik p� ""Bestil nu"", og registrer din udgave af Tribal Trouble for at kunne:","Klicken Sie auf ''Jetzt kaufen'', und registrieren Sie Ihre Version von Tribal Trouble. Danach haben Sie folgende M�glichkeiten:",Haz click en Comprar Ahora para registrar Tribal Trouble y as� poder:,Clicca Ordina adesso e registra la tua versione di Tribal Trouble per abilitare:
com.oddlabs.tt.form.DemoForm.chicken_weapons_unavailable,"With iron and chicken weapons you can equip much stronger warriors than the standard rock weapons allow for. The iron warrior is tougher and better at hitting his enemies, and the throwing weapons of the fearsome chicken warrior can bounce off their targets and continue doing damage to nearby enemies. Order the full version of Tribal Trouble to use the powerful warriors.","Med jern- og kyllingev�ben kan du udruste meget st�rkere krigere end de s�dvanlige stenkrigere. Jernkrigeren er mere h�rdf�r og bedre til at ramme sine fjender, og kastev�bnene fra kyllingekrigeren kan hoppe mellem fjenderne og ramme flere ad gangen.","Eisen- und H�hnchenwaffen machen aus einem gemeinen Steinkrieger eine wahre Kampfmaschine. Der Eisenkrieger ist h�rter und trifft besser, und die Wurfwaffen des Furcht erregenden H�hnchenkriegers prallen gern von ihrem Ziel ab und verursachen noch weitere Sch�den.","Con las armas de pollo tropical y hierro puedes equipar guerreros m�s fuertes de lo que te permiten los guerreros estandard con armas de piedra. El guerrero de hierro es mas fuerte y m�s eficaz acertando al enemigo, y las armas arrojadizas del temible guerrero pollo pueden rebotar en sus objetivos y seguir�n haciendo da�o all� donde golpeen.",Con le armi di ferro e di pollo puoi equipaggiare guerrieri pi� forti di quelli che hanno un''arma di roccia. Il guerriero di ferro � pi� resistente e colpisce meglio i suoi nemici e l''arma rimbalzante del temibile guerriero di pollo pu� rimbalzare sui bersagli per danneggiare i nemici vicini. Ordina la versione completa di Tribal Trouble per usare questi potenti guerrieri.
com.oddlabs.tt.form.DemoForm.chicken_weapons_unavailable_header,Special weapons are not available in the demo,Specielle v�ben er ikke til r�dighed i demoudgaven,Sonderwaffen nicht im Demomodus verf�gbar,Armas especiales no disponibles en la demo,Le armi speciali non sono disponibili nella versione demo.
com.oddlabs.tt.form.DemoForm.chieftain_unavailable,The maniacal chieftains are the only true weapons of mass destruction! Let one of these loose and there will be general widespread panic among the enemy as they are quickly decimated. Order the full version of Tribal Trouble to enable the chieftains.,"De gale h�vdinge er som skabt til masse�del�ggelse. Hvis en af dem slippes l�s, vil der spredes vild panik mellem fjenden, mens de hurtigt udslettes. Bestil Tribal Trouble for at spille med h�vdinge.","Die irren H�uptlinge sind die einzigen verf�gbaren Massenvernichtungswaffen. L�sst man einem von ihnen freie Hand, bricht unter den Feinden eine Massenhysterie aus, w�hrend sich ihre Zahlen schnell verringern. Bestellen Sie die Vollversion von Tribal Trouble, um die H�uptlinge zu aktivieren.",Los man�acos jefes tribales son las �nicas y verdaderas armas de destrucci�n masiva. Deja uno de estos por ah� perdido y ver�s como cunde el p�nico general entre tus enemigos mientras son r�pidamente diezmados. Compra la versi�n completa de Tribal Trouble para activar los jefes tribales.,I Capi Trib� sono le vere armi di distruzione di massa! Uccidine uno e scatenerai il panico tra i tuoi avversari che saranno decimati in fretta. Ordina la versione completa di Tribal Trouble per abilitarli.
com.oddlabs.tt.form.DemoForm.chieftain_unavailable_header,Chieftains are not available in the demo,H�vdinge er ikke til r�dighed i demoudgaven,H�uptlinge nicht im Demomodus verf�gbar,Jefes tribales no disponibles en la demo,I Capi Trib� non sono disponibili nella versione demo
com.oddlabs.tt.form.DemoForm.continue,Continue,Forts�t,Weiter,Continuar,Continua
